Week_end,Indicator,High_industry,Value
2019-08-11,Weekly earnings - upper quartile - 34 days,B Goods Producing,1538.46
2019-08-11,Weekly earnings - upper quartile - 34 days,C Services,1453.5
2019-08-11,Weekly earnings - upper quartile - 34 days,Z No Match,946
2019-08-11,Weekly earnings - lower quartile - 34 days,Total,653.78
2019-08-11,Weekly earnings - lower quartile - 34 days,A Primary,610.52
2019-08-11,Weekly earnings - lower quartile - 34 days,B Goods Producing,862.88
2019-08-11,Weekly earnings - lower quartile - 34 days,C Services,596.2
2019-08-11,Weekly earnings - lower quartile - 34 days,Z No Match,298.06
2019-08-18,Number of paid jobs - 34 days,Total,2139890
2019-08-18,Number of paid jobs - 34 days,A Primary,90340
2019-08-18,Number of paid jobs - 34 days,B Goods Producing,400550
2019-08-18,Number of paid jobs - 34 days,C Services,1617040
2019-08-18,Number of paid jobs - 34 days,Z No Match,31960
2019-08-18,Weekly earnings - median - 34 days,Total,1011
2019-08-18,Weekly earnings - median - 34 days,A Primary,961.53
2019-08-18,Weekly earnings - median - 34 days,B Goods Producing,1153.85
2019-08-18,Weekly earnings - median - 34 days,C Services,983.23
2019-08-18,Weekly earnings - median - 34 days,Z No Match,587.06
2019-08-18,Weekly earnings - upper quartile - 34 days,Total,1458.56
2019-08-18,Weekly earnings - upper quartile - 34 days,A Primary,1288.99
2019-08-18,Weekly earnings - upper quartile - 34 days,B Goods Producing,1538.46
2019-08-18,Weekly earnings - upper quartile - 34 days,C Services,1455.37
2019-08-18,Weekly earnings - upper quartile - 34 days,Z No Match,920
2019-08-18,Weekly earnings - lower quartile - 34 days,Total,652.98
2019-08-18,Weekly earnings - lower quartile - 34 days,A Primary,621.67
2019-08-18,Weekly earnings - lower quartile - 34 days,B Goods Producing,865.38
2019-08-18,Weekly earnings - lower quartile - 34 days,C Services,594
2019-08-18,Weekly earnings - lower quartile - 34 days,Z No Match,289.03
2019-08-25,Number of paid jobs - 34 days,Total,2145780
2019-08-25,Number of paid jobs - 34 days,A Primary,91990
2019-08-25,Number of paid jobs - 34 days,B Goods Producing,402040
2019-08-25,Number of paid jobs - 34 days,C Services,1619840
2019-08-25,Number of paid jobs - 34 days,Z No Match,31910
2019-08-25,Weekly earnings - median - 34 days,Total,1004.8
2019-08-25,Weekly earnings - median - 34 days,A Primary,962.5
2019-08-25,Weekly earnings - median - 34 days,B Goods Producing,1153.85
2019-08-25,Weekly earnings - median - 34 days,C Services,975
2019-08-25,Weekly earnings - median - 34 days,Z No Match,594.61
2019-08-25,Weekly earnings - upper quartile - 34 days,Total,1458.33
2019-08-25,Weekly earnings - upper quartile - 34 days,A Primary,1317.2
2019-08-25,Weekly earnings - upper quartile - 34 days,B Goods Producing,1539.88
2019-08-25,Weekly earnings - upper quartile - 34 days,C Services,1452.86
2019-08-25,Weekly earnings - upper quartile - 34 days,Z No Match,932.03
2019-08-25,Weekly earnings - lower quartile - 34 days,Total,644.47
2019-08-25,Weekly earnings - lower quartile - 34 days,A Primary,612.5
2019-08-25,Weekly earnings - lower quartile - 34 days,B Goods Producing,865.41
2019-08-25,Weekly earnings - lower quartile - 34 days,C Services,585
2019-08-25,Weekly earnings - lower quartile - 34 days,Z No Match,277.5
2019-09-01,Number of paid jobs - 34 days,Total,2142950
2019-09-01,Number of paid jobs - 34 days,A Primary,92840
2019-09-01,Number of paid jobs - 34 days,B Goods Producing,403430
2019-09-01,Number of paid jobs - 34 days,C Services,1611940
2019-09-01,Number of paid jobs - 34 days,Z No Match,34740
2019-09-01,Weekly earnings - median - 34 days,Total,1006.36
2019-09-01,Weekly earnings - median - 34 days,A Primary,961.53
2019-09-01,Weekly earnings - median - 34 days,B Goods Producing,1153.12
2019-09-01,Weekly earnings - median - 34 days,C Services,978.38
2019-09-01,Weekly earnings - median - 34 days,Z No Match,573.72
2019-09-01,Weekly earnings - upper quartile - 34 days,Total,1464
2019-09-01,Weekly earnings - upper quartile - 34 days,A Primary,1306.95
2019-09-01,Weekly earnings - upper quartile - 34 days,B Goods Producing,1538.47
2019-09-01,Weekly earnings - upper quartile - 34 days,C Services,1459.22
2019-09-01,Weekly earnings - upper quartile - 34 days,Z No Match,915.65
2019-09-01,Weekly earnings - lower quartile - 34 days,Total,639.42
2019-09-01,Weekly earnings - lower quartile - 34 days,A Primary,593.16
2019-09-01,Weekly earnings - lower quartile - 34 days,B Goods Producing,862.02
2019-09-01,Weekly earnings - lower quartile - 34 days,C Services,582.09
2019-09-01,Weekly earnings - lower quartile - 34 days,Z No Match,270
2019-09-08,Number of paid jobs - 34 days,Total,2108820
2019-09-08,Number of paid jobs - 34 days,A Primary,92050
2019-09-08,Number of paid jobs - 34 days,B Goods Producing,400160
2019-09-08,Number of paid jobs - 34 days,C Services,1585680
2019-09-08,Number of paid jobs - 34 days,Z No Match,30920
2019-09-08,Weekly earnings - median - 34 days,Total,1018.9
2019-09-08,Weekly earnings - median - 34 days,A Primary,952.37
2019-09-08,Weekly earnings - median - 34 days,B Goods Producing,1154.61
2019-09-08,Weekly earnings - median - 34 days,C Services,993.36
2019-09-08,Weekly earnings - median - 34 days,Z No Match,512.15
2019-09-08,Weekly earnings - upper quartile - 34 days,Total,1485
2019-09-08,Weekly earnings - upper quartile - 34 days,A Primary,1307.69
2019-09-08,Weekly earnings - upper quartile - 34 days,B Goods Producing,1550.25
2019-09-08,Weekly earnings - upper quartile - 34 days,C Services,1483.7
2019-09-08,Weekly earnings - upper quartile - 34 days,Z No Match,861.11
2019-09-08,Weekly earnings - lower quartile - 34 days,Total,651
2019-09-08,Weekly earnings - lower quartile - 34 days,A Primary,576.92
2019-09-08,Weekly earnings - lower quartile - 34 days,B Goods Producing,865.2
2019-09-08,Weekly earnings - lower quartile - 34 days,C Services,598.5
2019-09-08,Weekly earnings - lower quartile - 34 days,Z No Match,190.49
2019-09-15,Number of paid jobs - 34 days,Total,2116540
2019-09-15,Number of paid jobs - 34 days,A Primary,93400
2019-09-15,Number of paid jobs - 34 days,B Goods Producing,401400
2019-09-15,Number of paid jobs - 34 days,C Services,1591690
2019-09-15,Number of paid jobs - 34 days,Z No Match,30050
2019-09-15,Weekly earnings - median - 34 days,Total,1017.54
2019-09-15,Weekly earnings - median - 34 days,A Primary,956.16
2019-09-15,Weekly earnings - median - 34 days,B Goods Producing,1160
2019-09-15,Weekly earnings - median - 34 days,C Services,990
2019-09-15,Weekly earnings - median - 34 days,Z No Match,465.23
2019-09-15,Weekly earnings - upper quartile - 34 days,Total,1480.8
2019-09-15,Weekly earnings - upper quartile - 34 days,A Primary,1294.62
2019-09-15,Weekly earnings - upper quartile - 34 days,B Goods Producing,1555.4
2019-09-15,Weekly earnings - upper quartile - 34 days,C Services,1478.52
2019-09-15,Weekly earnings - upper quartile - 34 days,Z No Match,816.67
2019-09-15,Weekly earnings - lower quartile - 34 days,Total,647.33
2019-09-15,Weekly earnings - lower quartile - 34 days,A Primary,591.07
2019-09-15,Weekly earnings - lower quartile - 34 days,B Goods Producing,869.17
2019-09-15,Weekly earnings - lower quartile - 34 days,C Services,591.91
2019-09-15,Weekly earnings - lower quartile - 34 days,Z No Match,222.41
2019-09-22,Number of paid jobs - 34 days,Total,2145120
2019-09-22,Number of paid jobs - 34 days,A Primary,94590
2019-09-22,Number of paid jobs - 34 days,B Goods Producing,403780
2019-09-22,Number of paid jobs - 34 days,C Services,1616440
2019-09-22,Number of paid jobs - 34 days,Z No Match,30310
2019-09-22,Weekly earnings - median - 34 days,Total,1015.05
2019-09-22,Weekly earnings - median - 34 days,A Primary,961
2019-09-22,Weekly earnings - median - 34 days,B Goods Producing,1164.19
2019-09-22,Weekly earnings - median - 34 days,C Services,987.24
2019-09-22,Weekly earnings - median - 34 days,Z No Match,416.81
2019-09-22,Weekly earnings - upper quartile - 34 days,Total,1474
2019-09-22,Weekly earnings - upper quartile - 34 days,A Primary,1290.49
2019-09-22,Weekly earnings - upper quartile - 34 days,B Goods Producing,1555.56
2019-09-22,Weekly earnings - upper quartile - 34 days,C Services,1468.15
2019-09-22,Weekly earnings - upper quartile - 34 days,Z No Match,792
2019-09-22,Weekly earnings - lower quartile - 34 days,Total,647.5
2019-09-22,Weekly earnings - lower quartile - 34 days,A Primary,591.44
2019-09-22,Weekly earnings - lower quartile - 34 days,B Goods Producing,873.46
2019-09-22,Weekly earnings - lower quartile - 34 days,C Services,592.25
2019-09-22,Weekly earnings - lower quartile - 34 days,Z No Match,182.26
2019-09-29,Number of paid jobs - 34 days,Total,2127060
2019-09-29,Number of paid jobs - 34 days,A Primary,93460
2019-09-29,Number of paid jobs - 34 days,B Goods Producing,403360
